Date : 2025-11-06 00:10:36
Directory : /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src
Total : 154 files,  7786 codes, 376 comments, 844 blanks, all 9006 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/button/button.svelte                             | Svelte     |         75 |          0 |          6 |         81 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/button/index.ts                                  | TypeScript |         15 |          1 |          2 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-action.svelte                          | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-content.svelte                         | Svelte     |         13 |          0 |          3 |         16 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-description.svelte                     | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-footer.svelte                          | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-header.svelte                          | Svelte     |         21 |          0 |          3 |         24 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card-title.svelte                           | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/card.svelte                                 | Svelte     |         21 |          0 |          3 |         24 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/card/index.ts                                    | TypeScript |         23 |          1 |          2 |         26 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/checkbox/checkbox.svelte                         | Svelte     |         34 |          0 |          3 |         37 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/checkbox/index.ts                                | TypeScript |          5 |          1 |          1 |          7 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-dialog.svelte                    | Svelte     |         38 |          0 |          3 |         41 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-empty.svelte                     | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-group.svelte                     | Svelte     |         28 |          0 |          3 |         31 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-input.svelte                     | Svelte     |         24 |          0 |          3 |         27 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-item.svelte                      | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-link-item.svelte                 | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-list.svelte                      | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-separator.svelte                 | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command-shortcut.svelte                  | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/command.svelte                           | Svelte     |         20 |          0 |          3 |         23 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/command/index.ts                                 | TypeScript |         36 |          1 |          4 |         41 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/data-table.svelte.ts                  | TypeScript |         90 |         35 |         17 |        142 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/flex-render.svelte                    | Svelte     |         32 |          2 |          3 |         37 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/index.ts                              | TypeScript |          3 |          0 |          1 |          4 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/data-table/render-helpers.ts                     | TypeScript |         29 |         78 |          5 |        112 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-close.svelte                       | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-content.svelte                     | Svelte     |         41 |          0 |          3 |         44 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-description.svelte                 | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-footer.svelte                      | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-header.svelte                      | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-overlay.svelte                     | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-title.svelte                       | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/dialog-trigger.svelte                     | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dialog/index.ts                                  | TypeScript |         33 |          1 |          4 |         38 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-checkbox-item.svelte | Svelte     |         39 |          0 |          3 |         42 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-content.svelte       | Svelte     |         25 |          0 |          3 |         28 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-group-heading.svelte | Svelte     |         20 |          0 |          3 |         23 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-group.svelte         | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-item.svelte          | Svelte     |         25 |          0 |          3 |         28 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-label.svelte         | Svelte     |         22 |          0 |          3 |         25 |
